Name,Email,Twitter,Discord,Patron Status,Follows You,Lifetime Amount,Pledge Amount,Charge Frequency,Tier,Addressee,Street,City,State,Zip,Country,Phone,Patronage Since Date,Last Charge Date,Last Charge Status,Additional Details,User ID,Last Updated,Currency,Max Posts,Access Expiration,Next Charge Date
Homestar Runner,hstar@fake.website,,,Active patron,,,33.00,monthly,Main Cast,,,,,,,,,,,,,,,,,
Strong Bad,sbad@fake.website,,,Active patron,,,25.00,monthly,Main Cast,,,,,,,,,,,,,,,,,
Bubs,bubs_c_stand@fake.website,,,Active patron,,,25.00,monthly,Main Cast,,,,,,,,,,,,,,,,,
Marzipan♥️,marzipan@fake.website,,,Active patron,,,30.00,monthly,Main Cast,,,,,,,,,,,,,,,,,
Coach Z,coachz@fake.website,,,Active patron,,,25.00,monthly,Main Cast,,,,,,,,,,,,,,,,,
Strong Mad,s_m@fake.website,,,Active patron,,,25.00,monthly,Main Cast,,,,,,,,,,,,,,,,,
Strong Sad,strong_s@fake.website,,,Active patron,,,40.00,monthly,Main Cast,,,,,,,,,,,,,,,,,
The Cheat,teh_ch8@fake.website,,,Active patron,,,300.00,annual,Main Cast,,,,,,,,,,,,,,,,,
The King of Town,hismagestyKOT@fake.website,,,Active patron,,,25.00,monthly,Main Cast,,,,,,,,,,,,,,,,,
Pom Pom,pompom@fake.website,,,Active patron,,,750.00,annual,Main Cast,,,,,,,,,,,,,,,,,
The Poopsmith,psmith@fake.website,,,Active patron,,,25.00,monthly,Main Cast,,,,,,,,,,,,,,,,,
,homsaaaaar@fake.website,,,Active patron,,,45.00,monthly,Main Cast,,,,,,,,,,,,,,,,,
Cheerleader,soogood@fake.website,,,Active patron,,,5.00,monthly,Teen Girl,,,,,,,,,,,,,,,,,
So and So,classprez@fake.website,,,Active patron,,,5.00,monthly,Teen Girl,,,,,,,,,,,,,,,,,
What’s Her Face,vegangirl92@fake.website,,,Active patron,,,5.00,monthly,Teen Girl,,,,,,,,,,,,,,,,,
The Ugly One,wiggidywack@fake.website,,,Active patron,,,60.00,annual,Teen Girl,,,,,,,,,,,,,,,,,
Gunhaver,ghaver@fake.website,,,Active patron,,,12.00,annual,Cheat Commando,,,,,,,,,,,,,,,,,
Reynold,reynold@fake.website,,,Active patron,,,12.00,annual,Cheat Commando,,,,,,,,,,,,,,,,,
Fightgar,fightgar@fake.website,,,Active patron,,,12.00,annual,Cheat Commando,,,,,,,,,,,,,,,,,
Crackotage,crackotage@fake.website,,,Active patron,,,1.00,monthly,Cheat Commando,,,,,,,,,,,,,,,,,
Silent Rip,s_rip@fake.website,,,Active patron,,,1.00,monthly,Cheat Commando,,,,,,,,,,,,,,,,,
Firebert,firebert@fake.website,,,Active patron,,,12.00,annual,Cheat Commando,,,,,,,,,,,,,,,,,
Reinforcements,reinforcements@fake.website,,,Active patron,,,12.00,annual,Cheat Commando,,,,,,,,,,,,,,,,,
